en, ko
accept, 수용하다.
allocation, 할당
argument, 인수
call, 이름을 붙입니다.
chapter, 장
classic, 클래식
command, 명령어
common, 일반적인
concurrency, 동시성
constant, 상수
contain, 포함하다.
create, 생성하다.
drop, 제거하다.
ensure, 보장하다.
enter, 입력하다.
executable, 실행 파일
exercise, 연습
explicitly, 명시적으로
fix, 고치다.
for details, 세부적으로
goes out of scope, 범위 밖으로 벗어나다.
growable, 늘릴 수 있는
idiomatic, 관용적인
immutable, 변경 불가능한
lifetime, 수명
manage, 관리하다.
method, 메소드
module, 모듈
mutable, 변경 가능한
nothing happens, 아무 일도 발생하지 않는다.
optionally, 선택적으로
ownership, 소유권
parameter, 매개변수
PowerShell, 파워쉘
prelude, 전주
prompt, 프롬프트
refer to, 참조하다.
restriction, 제약
return, 반환하다.
safety, 안정성
scope, 범위
set up, 설정하다.
set, 집합
space, 공백
straightforward, 직접적으로
user, 사용자
variant, 열것값
you, 여러분
